nombreOriginal;tipoUso;nombreVia;distMaxExclusBici;longitud;tipoVia;palabrasClave;idVia;carrilExclusBici;municipio
Palos de la Frontera;CICLOCALLES; PALOS DE LA FRONTERA;298,75623300200;298.756233;;PALOS FRONTERA;560600;1;Madrid
Cava Alta;CICLOCALLES; CAVA ALTA;193,85804659900;193.8580466;;CAVA ALTA;158600;1;Madrid
Pintor Rosales;CICLOCALLES; PINTOR ROSALES;503,99345505900;503.99345506000003;;PINTOR ROSALES;596300;1;Madrid
P? Moret;CICLOCALLES; PLAZA MORET;554,43685686100;554.43685686;Plaza;MORET;523800;1;Madrid
P? Moret;CICLOCALLES; PLAZA MORET;425,29511490100;425.2951149;Plaza;MORET;523800;1;Madrid
Luisa Fernanda;CICLOCALLES; LUISA FERNANDA;314,36302313900;314.36302314;;LUISA FERNANDA;449000;1;Madrid
Felipe IV;CICLOCALLES; FELIPE IV;369,01443931100;369.01443931;;FELIPE IV;290400;1;Madrid
MartÝn de los Heros;CICLOCALLES; MARTÍN DE LOS HEROS;1189,53997440000;1189.5399744;;MARTÍN HEROS;489700;1;Madrid
Pza. Espa±a;CICLOCALLES; PLAZA ESPAÑA;244,32468011400;244.32468011;Plaza;ESPAÑA;273600;1;Madrid
Princesa;CICLOCALLES; PRINCESA;1444,15708861000;1444.1570886099998;;PRINCESA;610000;1;Madrid
Princesa;CICLOCALLES; PRINCESA;1338,33235540000;1338.3323553999999;;PRINCESA;610000;1;Madrid
Quintana;CICLOCALLES; QUINTANA;446,56058226000;446.56058226;;QUINTANA;623700;1;Madrid
Serrano Jover;CICLOCALLES; SERRANO JOVER;164,23510849000;164.23510849000002;;SERRANO JOVER;710500;1;Madrid
San Bernardo;CICLOCALLES; SAN BERNARDO;987,32092673200;987.32092673;;SAN BERNARDO;661700;1;Madrid
San Bernardo;CICLOCALLES; SAN BERNARDO;988,43260161800;988.43260162;;SAN BERNARDO;661700;1;Madrid
Manuela Malasa±a;CICLOCALLES; MANUELA MALASAÑA;319,46922086300;319.46922086;;MANUELA MALASAÑA;467700;1;Madrid
Sta. Cruz de Marcenado;CICLOCALLES; SANTA CRUZ DE MARCENADO;711,04956738600;711.04956739;;SANTA CRUZ MARCENADO;694000;1;Madrid
Francisco de Rojas;CICLOCALLES; FRANCISCO DE ROJAS;222,01697924100;222.01697923999998;;FRANCISCO ROJAS;308800;1;Madrid
Francisco de Rojas;CICLOCALLES; FRANCISCO DE ROJAS;230,17675309100;230.17675309;;FRANCISCO ROJAS;308800;1;Madrid
MejÝa Lequerica;CICLOCALLES; MEJÍA LEQUERICA;133,50477174500;133.50477175;;MEJÍA LEQUERICA;500000;1;Madrid
MejÝa Lequerica;CICLOCALLES; MEJÍA LEQUERICA;327,44984617400;327.44984617;;MEJÍA LEQUERICA;500000;1;Madrid
Fernando VI;CICLOCALLES; FERNANDO VI;290,83343565200;290.83343565;;FERNANDO VI;295400;1;Madrid
Bßrbara de Braganza;CICLOCALLES; BÁRBARA DE BRAGANZA;277,19216473200;277.19216473;;BÁRBARA BRAGANZA;91900;1;Madrid
Fernado VI;CICLOCALLES; FERNADO VI;69,55349268290;69.55349267999999;;FERNADO VI;295400;1;Madrid
Bßrbara de Braganza;CICLOCALLES; BÁRBARA DE BRAGANZA;271,56289930300;271.56289929999997;;BÁRBARA BRAGANZA;91900;1;Madrid
Prim;CICLOCALLES; PRIM;269,97870488200;269.97870487999995;;PRIM;609000;1;Madrid
Augusto Figueroa;CICLOCALLES; AUGUSTO FIGUEROA;326,15807702100;326.15807702;;AUGUSTO FIGUEROA;81800;1;Madrid
Salud;CICLOCALLES; SALUD;217,03230731600;217.03230732;;SALUD;656500;1;Madrid
San MartÝn;CICLOCALLES; SAN MARTÍN;134,87476280000;134.87476279999998;;SAN MARTÍN;678100;1;Madrid
Bordadores;CICLOCALLES; BORDADORES;142,35791072900;142.35791073000001;;BORDADORES;112100;1;Madrid
Esparteros;CICLOCALLES; ESPARTEROS;185,20375611100;185.20375611;;ESPARTEROS;274000;1;Madrid
Grafal;CICLOCALLES; GRAFAL;128,13869791600;128.13869792;;GRAFAL;342500;1;Madrid
Toledo;CICLOCALLES; TOLEDO;688,23131394500;688.2313139500001;;TOLEDO;743600;1;Madrid
Toledo;CICLOCALLES; TOLEDO;692,82339937700;692.8233993800001;;TOLEDO;743600;1;Madrid
Embajadores;CICLOCALLES; EMBAJADORES;440,93005567100;440.93005567;;EMBAJADORES;262000;1;Madrid
Embajadores;CICLOCALLES; EMBAJADORES;451,58495333800;451.58495333999997;;EMBAJADORES;262000;1;Madrid
Embajadores;CICLOCALLES; EMBAJADORES;722,47721250300;722.4772125;;EMBAJADORES;262000;1;Madrid
MarquÚs de Riscal;CICLOCALLES; MARQUÉS DE RISCAL;267,80661501500;267.80661502000004;;MARQUÉS RISCAL;486400;1;Madrid
Caracas;CICLOCALLES; CARACAS;346,41279707800;346.41279708;;CARACAS;139000;1;Madrid
Manuel Cortina;CICLOCALLES; MANUEL CORTINA;228,73377437100;228.73377437;;MANUEL CORTINA;461900;1;Madrid
Almagro;CICLOCALLES; ALMAGRO;654,36887478100;654.36887478;;ALMAGRO;31400;1;Madrid
Almagro;CICLOCALLES; ALMAGRO;644,07388244600;644.0738824499999;;ALMAGRO;31400;1;Madrid
Hortaleza;CICLOCALLES; HORTALEZA;940,96916987500;940.96916988;;HORTALEZA;365400;1;Madrid
Luchana;CICLOCALLES; LUCHANA;480,92489184100;480.92489184;;LUCHANA;444200;1;Madrid
Luchana;CICLOCALLES; LUCHANA;488,89959646800;488.89959646999995;;LUCHANA;444200;1;Madrid
Eduardo Dato;CICLOCALLES; EDUARDO DATO;746,23324291400;746.2332429100001;;EDUARDO DATO;256500;1;Madrid
Eduardo Dato;CICLOCALLES; EDUARDO DATO;747,26989954900;747.26989955;;EDUARDO DATO;256500;1;Madrid
Sta. MarÝa de la Cabeza;CICLOCALLES; SANTA MARÍA DE LA CABEZA;850,14369508600;850.1436950899999;;SANTA MARÍA CABEZA;697175;1;Madrid
Paseo de las Delicias;CICLOCALLES; PASEO DE LAS DELICIAS;693,99411438000;693.99411438;Paseo;DELICIAS;234600;1;Madrid
Ancora;CICLOCALLES; ANCORA;479,55141192600;479.55141193000003;;ANCORA;45400;1;Madrid
Méndez Álvaro;CICLOCALLES; MÉNDEZ ÁLVARO;978,39089387800;978.39089388;;MÉNDEZ ÁLVARO;501700;1;Madrid
C¬ de San Jer¾nimo;CICLOCALLES; CALLE DE SAN JERÓNIMO;357,86375828900;357.86375829;Calle;SAN JERÓNIMO;673100;1;Madrid
P? Castellana;CICLOCALLES; PLAZA CASTELLANA;1079,94843012000;1079.94843012;Plaza;CASTELLANA;153500;1;Madrid
P? Castellana;CICLOCALLES; PLAZA CASTELLANA;829,89944693400;829.89944693;Plaza;CASTELLANA;153500;1;Madrid
Alfonso XII;CICLOCALLES; ALFONSO XII;1337,96928989000;1337.96928989;;ALFONSO XII;27500;1;Madrid
Alfonso XII;CICLOCALLES; ALFONSO XII;1352,62459342000;1352.62459342;;ALFONSO XII;27500;1;Madrid
Ciudad de Barcelona;CICLOCALLES; CIUDAD DE BARCELONA;1181,35506352000;1181.3550635200002;;CIUDAD BARCELONA;171800;1;Madrid
Ciudad de Barcelona;CICLOCALLES; CIUDAD DE BARCELONA;1273,70795080000;1273.7079508;;CIUDAD BARCELONA;171800;1;Madrid
Jes·s Aprendiz;CICLOCALLES; JESÚS APRENDIZ;451,02037128200;451.02037128;;JESÚS APRENDIZ;392700;1;Madrid
Jes·s Aprendiz;CICLOCALLES; JESÚS APRENDIZ;297,26022782000;297.26022782;;JESÚS APRENDIZ;392700;1;Madrid
Lira;CICLOCALLES; LIRA;310,11734600000;310.117346;;LIRA;439100;1;Madrid
Lira;CICLOCALLES; LIRA;399,99361196600;399.99361197;;LIRA;439100;1;Madrid
Menéndez Pelayo;CICLOCALLES; MENÉNDEZ PELAYO;2185,76477451000;2185.76477451;;MENÉNDEZ PELAYO;502300;1;Madrid
Menéndez Pelayo;CICLOCALLES; MENÉNDEZ PELAYO;2169,10110617000;2169.1011061699996;;MENÉNDEZ PELAYO;502300;1;Madrid
PrÝncipe de Vergara;CICLOCALLES; PRÍNCIPE DE VERGARA;1775,12165474000;1775.12165474;;PRÍNCIPE VERGARA;610450;1;Madrid
PrÝncipe de Vergara;CICLOCALLES; PRÍNCIPE DE VERGARA;1802,28361392000;1802.28361392;;PRÍNCIPE VERGARA;610450;1;Madrid
Narvßez;CICLOCALLES; NARVÁEZ;996,07436258500;996.0743625900001;;NARVÁEZ;529200;1;Madrid
Narvßez;CICLOCALLES; NARVÁEZ;995,71894839100;995.7189483899999;;NARVÁEZ;529200;1;Madrid
Conde de Pe±alver;CICLOCALLES; CONDE DE PEÑALVER;1066,64871190000;1066.6487119;;CONDE PEÑALVER;206100;1;Madrid
Conde de Pe±alver;CICLOCALLES; CONDE DE PEÑALVER;1069,53785071000;1069.53785071;;CONDE PEÑALVER;206100;1;Madrid
Jose Ortega y Gasset;CICLOCALLES; JOSE ORTEGA Y GASSET;1586,77976118000;1586.7797611800002;;JOSE ORTEGA GASSET;405300;1;Madrid
Jose Ortega y Gasset;CICLOCALLES; JOSE ORTEGA Y GASSET;1582,17005478000;1582.1700547799999;;JOSE ORTEGA GASSET;405300;1;Madrid
Francisco Silvela;CICLOCALLES; FRANCISCO SILVELA;1607,68640899000;1607.68640899;;FRANCISCO SILVELA;310200;1;Madrid
Francisco Silvela;CICLOCALLES; FRANCISCO SILVELA;1613,95567824000;1613.95567824;;FRANCISCO SILVELA;310200;1;Madrid
Doctor Esquerdo;CICLOCALLES; DOCTOR ESQUERDO;3054,85107905000;3054.85107905;;DOCTOR ESQUERDO;241300;1;Madrid
Doctor Esquerdo;CICLOCALLES; DOCTOR ESQUERDO;3041,68123908000;3041.68123908;;DOCTOR ESQUERDO;241300;1;Madrid
Goya;CICLOCALLES; GOYA;1794,55779169000;1794.55779169;;GOYA;341900;1;Madrid
Goya;CICLOCALLES; GOYA;1792,90263043000;1792.90263043;;GOYA;341900;1;Madrid
Alcalß;CICLOCALLES; ALCALÁ;1346,26265061000;1346.26265061;;ALCALÁ;18900;1;Madrid
Alcalß;CICLOCALLES; ALCALÁ;1370,99166437000;1370.99166437;;ALCALÁ;18900;1;Madrid
Guzmßn El Bueno;CICLOCALLES; GUZMÁN EL BUENO;786,98990482800;786.98990483;;GUZMÁN BUENO;352700;1;Madrid
Granada;CICLOCALLES; GRANADA;701,76168596300;701.76168596;;GRANADA;343000;1;Madrid
Atocha;CICLOCALLES; ATOCHA;315,50262046900;315.50262047;;ATOCHA;81600;1;Madrid
Atocha;CICLOCALLES; ATOCHA;670,55119080900;670.55119081;;ATOCHA;81600;1;Madrid
Vallehermoso;CICLOCALLES; VALLEHERMOSO;959,46535179500;959.4653518;Valle;VALLEHERMOSO;768800;1;Madrid
Paseo Castellana;CICLOCALLES; PASEO CASTELLANA;0,00000000000;3464.3268135900003;Paseo;CASTELLANA;153500;0;Madrid
Paseo Castellana;CICLOCALLES; PASEO CASTELLANA;0,00000000000;3426.07134154;Paseo;CASTELLANA;153500;0;Madrid
PrÝncipe de Vergara;CICLOCALLES; PRÍNCIPE DE VERGARA;0,00000000000;3163.17772325;;PRÍNCIPE VERGARA;610450;0;Madrid
Serrano;CICLOCALLES; SERRANO;0,00000000000;829.41748343;;SERRANO;710300;0;Madrid
Serrano;CICLOCALLES; SERRANO;0,00000000000;1331.38079977;;SERRANO;710300;0;Madrid
Joaquin Costa;CICLOCALLES; JOAQUIN COSTA;0,00000000000;1221.9090593199999;;JOAQUIN COSTA;395300;0;Madrid
Vallehermoso;CICLOCALLES; VALLEHERMOSO;0,00000000000;217.80941714;Valle;VALLEHERMOSO;768800;0;Madrid
Santander;CICLOCALLES; SANTANDER;0,00000000000;402.19189706000003;;SANTANDER;699700;0;Madrid
Gral Iba±ez de Ibero;CICLOCALLES; GENERAL IBAÑEZ DE IBERO;0,00000000000;341.44629439;;GENERAL IBAÑEZ IBERO;330200;0;Madrid
Guzman el Bueno;CICLOCALLES; GUZMAN EL BUENO;0,00000000000;822.57319846;;GUZMAN BUENO;352700;0;Madrid
Bravo Murillo;CICLOCALLES; BRAVO MURILLO;0,00000000000;2595.89728392;;BRAVO MURILLO;114600;0;Madrid
San Bernardino Sahag·n;CICLOCALLES; SAN BERNARDINO SAHAGÚN;0,00000000000;486.13238953999996;;SAN BERNARDINO SAHAGÚN;311500;0;Madrid
Mateo Inurria;CICLOCALLES; MATEO INURRIA;0,00000000000;235.84240332000002;;MATEO INURRIA;494900;0;Madrid
Mateo Inurria;CICLOCALLES; MATEO INURRIA;0,00000000000;1013.1022394;;MATEO INURRIA;494900;0;Madrid
PlaterÝas;CICLOCALLES; PLATERÍAS;0,00000000000;185.75863221;;PLATERÍAS;599100;0;Madrid
San Bernardo;CICLOCALLES; SAN BERNARDO;0,00000000000;452.49128906000004;;SAN BERNARDO;661700;0;Madrid
Donoso Cortés;CICLOCALLES; DONOSO CORTÉS;0,00000000000;1162.66127439;;DONOSO CORTÉS;249300;0;Madrid
Fernßndez de los Rios;CICLOCALLES; FERNÁNDEZ DE LOS RIOS;0,00000000000;1191.40461089;;FERNÁNDEZ RIOS;293500;0;Madrid
Bravo Murillo;CICLOCALLES; BRAVO MURILLO;0,00000000000;262.2669245;;BRAVO MURILLO;114600;0;Madrid
Gral Martinez Campos;CICLOCALLES; GENERAL MARTINEZ CAMPOS;0,00000000000;1276.25039513;;GENERAL MARTINEZ CAMPOS;331100;0;Madrid
Bravo Murillo;CICLOCALLES; BRAVO MURILLO;0,00000000000;1189.7699705;;BRAVO MURILLO;114600;0;Madrid
Sta Engracia;CICLOCALLES; SANTA ENGRACIA;0,00000000000;1688.80563998;;SANTA ENGRACIA;694525;0;Madrid
Gral ?lvarez de Castro;CICLOCALLES; GENERAL ÁLVAREZ DE CASTRO;0,00000000000;369.32395427;;GENERAL ÁLVAREZ CASTRO;328400;0;Madrid
Modesto Lafuente;CICLOCALLES; MODESTO LAFUENTE;0,00000000000;1275.79241268;;MODESTO LAFUENTE;512200;0;Madrid
Alonso Cano;CICLOCALLES; ALONSO CANO;0,00000000000;1277.94176107;;ALONSO CANO;34700;0;Madrid
